questionnaire_url,usajobs_control_number,position_title,announcement_number,hiring_agency,occupation_series,occupation_name,position_open_date,position_close_date,position_location,grade_code,position_schedule,service_type,extracted_from_file,extracted_date
https://apply.usastaffing.gov/ViewQuestionnaire/12445428,796588500,MATERIALS EXAMINER AND IDENTIFIER (HAZMAT),CO-12445428-AR-24-120,Department of the Army,6912,Materials Examining And Identifying,2025-06-25 15:49:45.180,2025-07-25T23:59:59.9970,"Golden, Colorado",WG-7,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.970259
https://apply.usastaffing.gov/ViewQuestionnaire/12477634,800167300,AIR TRAFFIC CONTROL SPECIALIST (TERMINAL),WY-12477634-AF-24-101,Department of the Air Force,2152,Air Traffic Control,2025-06-30 10:05:17.160,2025-07-15T23:59:59.9970,"Cheyenne, Wyoming",GS-10/11,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.970634
https://apply.usastaffing.gov/ViewQuestionnaire/12500397,804573300,AIRCRAFT PNEUDRAULIC/FUELS SYSTEM MECHANIC,CO-12500397-AF-24-144,Department of the Air Force,8268,Aircraft Pneudraulic Systems Mechanic,2025-06-18 09:17:24.140,2025-07-18T23:59:59.9970,"Buckley AFB, Colorado",WG-10,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.971247
https://apply.usastaffing.gov/ViewQuestionnaire/12569340,813468900,AIRCRAFT ORDNANCE SYSTEMS MECHANIC,CO-12569340-AF-24-169,Department of the Air Force,6652,Aircraft Ordnance Systems Mechanic,2025-06-18 09:28:23.697,2025-07-18T23:59:59.9970,"Buckley AFB, Colorado",WG-10,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.971717
https://apply.usastaffing.gov/ViewQuestionnaire/12565656,815484900,Rehabilitation Counselor,CBTD-12565656-25-TL,Department of Veterans Affairs,101,Social Science,2025-06-11 13:01:41.260,2025-09-30T23:59:59.9970,"Brockton, Massachusetts",GS-9/11,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.972133
https://apply.usastaffing.gov/ViewQuestionnaire/12592986,817106000,Health System Administrator (CEO),IHS-25-PX-12592986-ESEP/MP,Department of Health and Human Services,670,Health System Administration,2025-07-02 13:32:40.150,2025-07-17T23:59:59.9970,"Winterhaven, California",GS-15,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.972462
https://apply.usastaffing.gov/ViewQuestionnaire/12609621,819777800,Supervisory Wildland Firefighter - Direct Hire Authority,DHA-25-12609621-CBXH-DN,Department of the Interior,456,Wildland Fire Management,2025-06-26 15:55:33.253,2025-07-18T23:59:59.9970,"Fort Defiance, Arizona",GS-9,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.972744
https://apply.usastaffing.gov/ViewQuestionnaire/12620877,820514200,FOOD SERVICE WORKER,25-12620877,Department of the Navy,7408,Food Service Working,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,"Portsmouth, Virginia",NA-4,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.972921
https://apply.usastaffing.gov/ViewQuestionnaire/12631670,823377400,Nuclear Medicine Technologist,CBTD-12631670-25-DML,Department of Veterans Affairs,601,General Health Science,2025-06-04 00:00:00.000,2025-07-07T23:59:59.9970,"White River Junction, Vermont",GS-00,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.973205
https://apply.usastaffing.gov/ViewQuestionnaire/12631671,823377600,Nuclear Medicine Technologist,CBTD-12631671-25-DML,Department of Veterans Affairs,601,General Health Science,2025-06-04 00:00:00.000,2025-07-07T23:59:59.9970,"White River Junction, Vermont",GS-9,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.973491
https://apply.usastaffing.gov/ViewQuestionnaire/12648456,825359900,Medical Support Assistant,IHS-25-PX-12648456-ESEP/MP,Department of Health and Human Services,679,Medical Support Assistance,2025-07-02 13:23:27.877,2025-07-30T23:59:59.9970,"Supai, Arizona",GS-5/6,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.973730
https://apply.usastaffing.gov/ViewQuestionnaire/12655589,826921800,SUPERVISORY AIR TRAFFIC CONTROL SPECIALIST,WY-12655589-AR-25-023,Department of the Army,2152,Air Traffic Control,2025-07-01 13:43:36.377,2025-07-08T23:59:59.9970,"Guernsey, Wyoming",GS-12,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.974068
https://apply.usastaffing.gov/ViewQuestionnaire/12666245,828181600,Wildland Firefighter (Prevention) - Direct HIre Authority,DHA-25-12666245-CBXH-DN,Department of the Interior,456,Wildland Fire Management,2025-07-01 09:53:19.140,2025-07-23T23:59:59.9970,"Rosebud, South Dakota",GS-7/9,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.974521
https://apply.usastaffing.gov/ViewQuestionnaire/12671347,828754800,Wildland Firefighter - Direct Hire Authority,DHA-25-12671347-CBXH-DN,Department of the Interior,456,Wildland Fire Management,2025-06-25 12:33:46.390,2025-07-10T23:59:59.9970,"Fort Defiance, Arizona",GS-6,Seasonal,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.975040
https://apply.usastaffing.gov/ViewQuestionnaire/12675476,829097200,SURFACE MAINTENANCE MECHANIC,CO-12675476-AR-25-044,Department of the Army,5801,Miscellaneous Transportation/Mobile Equipment Maintenance,2025-06-26 10:47:08.913,2025-07-26T23:59:59.9970,"Denver, Colorado",WG-10,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.975382
https://apply.usastaffing.gov/ViewQuestionnaire/12678772,829489600,Recreation Assistant-Lifeguard,FFR25-0108D,Department of the Navy,189,Recreation Aid And Assistant,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,"Sasebo Naval Base, Japan",NF-2,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.975560
https://apply.usastaffing.gov/ViewQuestionnaire/12676252,829595400,Medical Support Assistant,IHS-25-PX-12676252-DE,Department of Health and Human Services,679,Medical Support Assistance,2025-07-02 13:24:30.683,2025-07-30T23:59:59.9970,"Supai, Arizona",GS-5/6,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.975908
https://apply.usastaffing.gov/ViewQuestionnaire/12673307,829639200,Recreation Aid (Community Recreation),FFR25-0062,Department of the Navy,189,Recreation Aid And Assistant,2025-06-09 19:06:49.550,2025-12-31T23:59:59.9970,"Chinhae, South Korea",NF-1,"Flexible, May work between 0-40 hours/week depending on facility needs",Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.976063
https://apply.usastaffing.gov/ViewQuestionnaire/12678326,830026100,FOOD SERVICE WORKER,25-12678326,Department of the Navy,7408,Food Service Working,2025-06-24 10:22:48.300,2025-07-07T23:59:59.9970,"Norfolk, Virginia",NA-4,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.976446
https://apply.usastaffing.gov/ViewQuestionnaire/12682598,830032300,Heavy Mobile Equipment Repairer Leader,SDDE256420312598,Department of the Army,5803,Heavy Mobile Equipment Mechanic,2025-06-09 09:26:00.127,2025-07-07T23:59:59.9970,"Fairchild AFB, Washington",WL-9,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.976656
https://apply.usastaffing.gov/ViewQuestionnaire/12686356,831206300,CYP Assistant,FFR25-0157,Department of the Navy,1702,Education And Training Technician,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,"Sasebo Naval Base, Japan",CY-1,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.977332
https://apply.usastaffing.gov/ViewQuestionnaire/12691576,831397500,Recreation Aid,25-7NFSWB742329,Department of the Air Force,189,Recreation Aid And Assistant,2025-06-05 10:27:01.307,2025-09-05T23:59:59.9970,"Spangdahlem, Germany",NF-1,Flexible (0-40 hours per week),Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.977513
https://apply.usastaffing.gov/ViewQuestionnaire/12694061,831658500,Barista NA-04,O2NAFBN-25-12694061,Department of the Army,7401,Miscellaneous Food Preparation and Serving,2025-07-02 12:55:30.273,2025-10-02T23:59:59.9970,"Fort Drum, New York",NA-4,0-40 hours per week,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.977789
https://apply.usastaffing.gov/ViewQuestionnaire/12698158,832187500,CHILD AND YOUTH PROGRAM ASSISTANT (ENTRY / INTERMEDIATE / TARGET LEVEL),25-4YFSYC12698158,Department of the Air Force,1702,Education And Training Technician,2025-06-26 12:05:55.983,2025-07-10T23:59:59.9970,"Fairchild AFB, Washington",CY-1/2,Guaranteed 0-40 hours per week; depending on the needs of the facility.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.978048
https://apply.usastaffing.gov/ViewQuestionnaire/12703101,832871700,CYP Assistant,FFR25-0258,Department of the Navy,1702,Education And Training Technician,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,"Sasebo Naval Base, Japan",CY-1,FLEX: May work between 0-40 hours/week depending on facility needs.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.978783
https://apply.usastaffing.gov/ViewQuestionnaire/12710138,833688800,Transportation Security Officer,12710138 IND PT POC,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,"Indianapolis, Indiana",SV-D,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.979609
https://apply.usastaffing.gov/ViewQuestionnaire/12712975,833802900,Transportation Security Officer,12712975 COU-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-24 15:04:35.370,2025-07-24T23:59:59.9970,"Columbia, Missouri",SV-D,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.979937
https://apply.usastaffing.gov/ViewQuestionnaire/12712990,833805200,Transportation Security Officer,12712990 IRK-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-17 11:34:31.157,2025-07-18T23:59:59.9970,"Kirksville, Missouri",SV-D,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.980259
https://apply.usastaffing.gov/ViewQuestionnaire/12716497,834052900,Nursing Assistant-Transitional Care and CIIRP,ML-12716497-25-AM,Department of Veterans Affairs,621,Nursing Assistant,2025-06-30 11:32:43.003,2025-07-21T23:59:59.9970,"Milwaukee, Wisconsin",GS-3/5,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.980502
https://apply.usastaffing.gov/ViewQuestionnaire/12708399,834318700,CYP Assistant,FFR25-0280A,Department of the Navy,1702,Education And Training Technician,2025-07-01 00:00:00.000,2025-07-15T23:59:59.9970,"Sasebo Naval Base, Japan",CY-1,FLEXIBLE: May work between 0-40 hours/week depending on facility needs.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.980929
https://apply.usastaffing.gov/ViewQuestionnaire/12719511,834516800,Transportation Security Officer,12719511 LEB FT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-07-01 10:29:30.090,2025-08-01T23:59:59.9970,"Lebanon, New Hampshire",SV-D,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.981606
https://apply.usastaffing.gov/ViewQuestionnaire/12708332,834635600,Law Enforcement Officer,ST-25-12708332-CAWV-SM,Department of the Interior,1801,"General Inspection, Investigation, Enforcement, And Compliance Series",2025-06-25 12:29:54.323,2025-07-15T23:59:59.9970,"Albuquerque, New Mexico",GL-5/11,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.982389
https://apply.usastaffing.gov/ViewQuestionnaire/12721506,834820800,Aquatics Coordinator - NAS Pensacola,PEN 25-12721506,Department of the Navy,188,Recreation Specialist,2025-07-02 08:42:29.350,2025-07-16T23:59:59.9970,"Pensacola, Florida",NF-3,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.982652
https://apply.usastaffing.gov/ViewQuestionnaire/12689175,834831200,Dispatcher (Public Safety),ST-25-12689175-CAWV-SM,Department of the Interior,2151,Dispatching,2025-06-24 12:23:44.723,2025-07-09T23:59:59.9970,"Hardin, Montana",GS-4/6,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.982905
https://apply.usastaffing.gov/ViewQuestionnaire/12703947,834945000,TRAINING TECHNICIAN (Title 32),TX-12703947-AF,Department of the Air Force,1702,Education And Training Technician,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,"Federal Medical Center Carswell, Texas",GS-9,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.983119
https://apply.usastaffing.gov/ViewQuestionnaire/12722543,834994100,Recreation Aid - Bowling Front Desk/Snack Bar Operator,PEN 25-12722543,Department of the Navy,189,Recreation Aid And Assistant,2025-07-03 00:00:00.000,2025-07-17T23:59:59.9970,"Pensacola, Florida",NF-1,Flexible,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.983353
https://apply.usastaffing.gov/ViewQuestionnaire/12712992,835014000,Psychiatric Technician,IHS-25-CA-12712992-ESEP/MP,Department of Health and Human Services,640,Health Aid And Technician,2025-06-27 15:47:33.323,2025-07-18T23:59:59.9970,"Davis, California",GS-7,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.983616
https://apply.usastaffing.gov/ViewQuestionnaire/12712991,835016800,Psychiatric Technician,IHS-25-CA-12712991-DE,Department of Health and Human Services,640,Health Aid And Technician,2025-06-27 15:55:30.790,2025-07-18T23:59:59.9970,"Davis, California",GS-7,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.983857
https://apply.usastaffing.gov/ViewQuestionnaire/12706649,835088500,AIRCRAFT ELECTRICIAN,CO-12706649-AF-25-057,Department of the Air Force,2892,Aircraft Electrician,2025-06-18 09:36:36.577,2025-07-18T23:59:59.9970,"Buckley AFB, Colorado",WG-11,,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.984365
https://apply.usastaffing.gov/ViewQuestionnaire/12723308,835182300,Recreation Assistant (Lifeguard),FFR25-0403,Department of the Navy,189,Recreation Aid And Assistant,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,"Sasebo Naval Base, Japan",NF-2,FLEXIBLE: May work between 0-40 hours/week depending on facility needs.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.984679
https://apply.usastaffing.gov/ViewQuestionnaire/12723316,835184200,Catering Manager,FFR25-0387A,Department of the Navy,1101,General Business And Industry,2025-06-18 00:00:00.000,2025-07-18T23:59:59.9970,"Sasebo Naval Base, Japan",NF-3,,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.984930
https://apply.usastaffing.gov/ViewQuestionnaire/12722931,835260400,Licensed Practical Nurse-Spinal Cord Injury (SCI),ML-12722931-25-AM,Department of Veterans Affairs,620,Practical Nurse,2025-06-30 11:42:53.497,2025-07-21T23:59:59.9970,"Milwaukee, Wisconsin",GS-3/6,Only full-time is available.,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.985229
https://apply.usastaffing.gov/ViewQuestionnaire/12724354,835293300,Registered Nurse (RN) - Inpatient/4C (FTE 0.9),CAZP-12724354-25-RM,Department of Veterans Affairs,610,Nurse,2025-07-01 13:04:28.730,2025-07-14T23:59:59.9970,"Milwaukee, Wisconsin",AD-00,Variable shifts available (Days/NOCs) - Weekend and Holiday rotation is required.,Excepted,current_jobs_2025.parquet,2025-07-29T21:11:26.985773
https://apply.usastaffing.gov/ViewQuestionnaire/12724599,835327400,Recreation Aid (Liberty),FFR25-0344,Department of the Navy,189,Recreation Aid And Assistant,2025-06-16 00:00:00.000,2025-07-14T23:59:59.9970,"Atsugi Naval Air Facility, Japan",NF-1,May work between 0-40 hours/week depending on facility needs.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.985930
https://apply.usastaffing.gov/ViewQuestionnaire/12705187,835327600,Recreation Assistant (Fitness) Flex,FFR25-0274,Department of the Navy,189,Recreation Aid And Assistant,2025-06-19 00:00:00.000,2025-07-31T23:59:59.9970,"Singapore, Singapore",NF-2,May work between 0-40 hours/week depending on facility needs.,Competitive,current_jobs_2025.parquet,2025-07-29T21:11:26.986119
